"Query String","Search Type","Search Result","Search Result Message","Canonical SMILES","MolPort ID","Verified amount (mg)","Unverified amount (mg)","Link"
"FC(c1nc(nc(c1)c1cccs1)N1CCOCC1)(F)F","EXACT","FOUND","Search completed!","FC(F)(F)c1cc(nc(n1)N1CCOCC1)-c1cccs1","MolPort-001-604-058",50,50,"https://www.molport.com/shop/molecule-link/MolPort-001-604-058"
"O=C1N=C(Nc2ccccc2)SC(C1)C(=O)NCCc1ccccc1","EXACT","FOUND","Search completed!","O=C(NCCc1ccccc1)C1CC(=O)N\C(S1)=N\c1ccccc1","MolPort-002-589-991",300,300,"https://www.molport.com/shop/molecule-link/MolPort-002-589-991"
"Cc1ccc(c(c1)C)NC(=O)c1nc2n(n1)c(cc(n2)C)C(F)F","EXACT","FOUND","Search completed!","Cc1ccc(NC(=O)c2nc3nc(C)cc(C(F)F)n3n2)c(C)c1","MolPort-001-604-737",50,50,"https://www.molport.com/shop/molecule-link/MolPort-001-604-737"
"OC(=O)CCc1nc2cc(ccc2n(c1=O)Cc1ccccc1)C(F)(F)F","EXACT","FOUND","Search completed!","OC(=O)CCc1nc2cc(ccc2n(Cc2ccccc2)c1=O)C(F)(F)F","MolPort-000-490-649",10000,10000,"https://www.molport.com/shop/molecule-link/MolPort-000-490-649"
"Cc1ccc(cc1)C1CC1c1nnc(n1c1cccc(c1)Cl)S","EXACT","FOUND","Search completed!","Cc1ccc(cc1)C1CC1c1nnc(S)n1-c1cccc(Cl)c1","MolPort-002-751-780",20,20,"https://www.molport.com/shop/molecule-link/MolPort-002-751-780"
"CCC(c1nnc(s1)NC(=O)c1ccc(cc1)[N+](=O)[O-])(C)C","EXACT","FOUND","Search completed!","CCC(C)(C)c1nnc(NC(=O)c2ccc(cc2)[N+]([O-])=O)s1","MolPort-001-555-982",700,700,"https://www.molport.com/shop/molecule-link/MolPort-001-555-982"
"O=C(Nc1cccc(c1)F)NCCC1=CCCCC1","EXACT","FOUND","Search completed!","Fc1cccc(NC(=O)NCCC2=CCCCC2)c1","MolPort-002-128-971",100,100,"https://www.molport.com/shop/molecule-link/MolPort-002-128-971"
"O=C(C(C)C)NCC1CCC2(O1)CCN(CC2)Cc1ccc2c(c1)cccc2","EXACT","FOUND","Search completed!","CC(C)C(=O)NCC1CCC2(CCN(Cc3ccc4ccccc4c3)CC2)O1","MolPort-005-044-313",1,1,"https://www.molport.com/shop/molecule-link/MolPort-005-044-313"
"COc1cc(C=O)ccc1OCCCCOc1ccccc1[N+](=O)[O-]","EXACT","FOUND","Search completed!","COc1cc(C=O)ccc1OCCCCOc1ccccc1[N+]([O-])=O","MolPort-002-201-681",50,50,"https://www.molport.com/shop/molecule-link/MolPort-002-201-681"
"O=C(NCc1ccccc1F)CCC(=O)N1CCOc2c1cc(C)cc2","EXACT","FOUND","Search completed!","Cc1ccc2OCCN(C(=O)CCC(=O)NCc3ccccc3F)c2c1","MolPort-007-717-296",200,200,"https://www.molport.com/shop/molecule-link/MolPort-007-717-296"
"O=C(N(c1ccccc1)C)c1noc(c1)c1ccccc1O","EXACT","FOUND","Search completed!","CN(C(=O)c1cc(on1)-c1ccccc1O)c1ccccc1","MolPort-006-843-980",100,100,"https://www.molport.com/shop/molecule-link/MolPort-006-843-980"
"[O-][N+](=O)c1cccc(c1)c1ccc(nn1)SCc1cccnc1","EXACT","FOUND","Search completed!","[O-][N+](=O)c1cccc(c1)-c1ccc(SCc2cccnc2)nn1","MolPort-003-084-664",5,5,"https://www.molport.com/shop/molecule-link/MolPort-003-084-664"
"O=C(Cn1cc(C(=O)c2ccc(cc2)C)c(=O)c2c1cccc2)Nc1ccc(cc1)C(C)C","EXACT","FOUND","Search completed!","CC(C)c1ccc(NC(=O)Cn2cc(C(=O)c3ccc(C)cc3)c(=O)c3ccccc23)cc1","MolPort-003-072-546",100,100,"https://www.molport.com/shop/molecule-link/MolPort-003-072-546"
"[O-][n+]1onc2c1CCc1c2ccnn1","EXACT","FOUND","Search completed!","[O-][n+]1onc-2c1CCc1nnccc-21","MolPort-001-756-967",200,200,"https://www.molport.com/shop/molecule-link/MolPort-001-756-967"
"COC(=O)Cn1c(=O)n(C)c2c(c1=O)n(Cc1ccccc1Cl)c(n2)Br","EXACT","FOUND","Search completed!","COC(=O)Cn1c(=O)n(C)c2nc(Br)n(Cc3ccccc3Cl)c2c1=O","MolPort-002-545-408",100,100,"https://www.molport.com/shop/molecule-link/MolPort-002-545-408"
"Cc1ccc(c(c1)NC(=O)c1cc(ccc1N1CCOCC1)S(=O)(=O)N1CCCCC1)C","EXACT","FOUND","Search completed!","Cc1ccc(C)c(NC(=O)c2cc(ccc2N2CCOCC2)S(=O)(=O)N2CCCCC2)c1","MolPort-004-096-411",100,100,"https://www.molport.com/shop/molecule-link/MolPort-004-096-411"
"CCc1nc2ccccc2c(=O)n1c1ccc2c(c1)cccc2","EXACT","FOUND","Search completed!","CCc1nc2ccccc2c(=O)n1-c1ccc2ccccc2c1","MolPort-001-978-397",20,20,"https://www.molport.com/shop/molecule-link/MolPort-001-978-397"
"Cc1ccc(cc1)c1n[nH]cc1CNCc1ccccc1","EXACT","FOUND","Search completed!","Cc1ccc(cc1)-c1n[nH]cc1CNCc1ccccc1","MolPort-004-664-376",30,30,"https://www.molport.com/shop/molecule-link/MolPort-004-664-376"
"CCc1ccc(cc1)C1N(c2sc(c(n2)C)C)C(=O)c2c1c(=O)c1c(o2)ccc(c1)F","EXACT","FOUND","Search completed!","CCc1ccc(cc1)C1N(C(=O)c2oc3ccc(F)cc3c(=O)c12)c1nc(C)c(C)s1","MolPort-000-482-577",200,200,"https://www.molport.com/shop/molecule-link/MolPort-000-482-577"
"O=C(c1ccc(c(c1)[N+](=O)[O-])C)NCc1ccccn1","EXACT","FOUND","Search completed!","Cc1ccc(cc1[N+]([O-])=O)C(=O)NCc1ccccn1","MolPort-001-496-503",50,100,"https://www.molport.com/shop/molecule-link/MolPort-001-496-503"
"Oc1cccc(c1)c1nc2sc3c(c2c(=O)[nH]1)CCCC3","EXACT","FOUND","Search completed!","Oc1cccc(c1)-c1nc2sc3CCCCc3c2c(=O)[nH]1","MolPort-001-011-300",1000,1000,"https://www.molport.com/shop/molecule-link/MolPort-001-011-300"
"O=C(Nc1cccnc1O)CC1CCS(=O)(=O)C1","EXACT","FOUND","Search completed!","O=C(CC1CCS(=O)(=O)C1)Nc1ccc[nH]c1=O","MolPort-002-718-140",200,200,"https://www.molport.com/shop/molecule-link/MolPort-002-718-140"
"COc1cc(CCNC(=O)/C=C/c2ccccc2)ccc1OC","ISOMER","FOUND","Search completed!","COc1ccc(CCNC(=O)\C=C/c2ccccc2)cc1OC","MolPort-002-139-286",10,10,"https://www.molport.com/shop/molecule-link/MolPort-002-139-286"
"O=C(NCC1(CC1)c1ccccc1)CNCCn1cccn1","EXACT","FOUND","Search completed!","O=C(CNCCn1cccn1)NCC1(CC1)c1ccccc1","MolPort-023-147-311",75,75,"https://www.molport.com/shop/molecule-link/MolPort-023-147-311"
"OC(=O)CNS(=O)(=O)c1ccc(cc1)NC(=O)C","EXACT","FOUND","Search completed!","CC(=O)Nc1ccc(cc1)S(=O)(=O)NCC(O)=O","MolPort-001-887-190",10000,10000,"https://www.molport.com/shop/molecule-link/MolPort-001-887-190"
"CC(=O)Nc1ccc(cc1)NCc1cccs1","EXACT","FOUND","Search completed!","CC(=O)Nc1ccc(NCc2cccs2)cc1","MolPort-001-937-531",100,100,"https://www.molport.com/shop/molecule-link/MolPort-001-937-531"
"Fc1ccc(cc1)NC(=O)C1=C(C)Nc2n(C1c1ccc(cc1)Cl)ncn2","EXACT","FOUND","Search completed!","CC1=C(C(c2ccc(Cl)cc2)n2ncnc2N1)C(=O)Nc1ccc(F)cc1","MolPort-000-682-778",100,100,"https://www.molport.com/shop/molecule-link/MolPort-000-682-778"
"NNC(=O)C12CC3CC(C1)CC(C2)(C3)C(C)C","EXACT","FOUND","Search completed!","CC(C)C12CC3CC(C1)CC(C3)(C2)C(=O)NN","MolPort-001-917-460",100,100,"https://www.molport.com/shop/molecule-link/MolPort-001-917-460"
